airline,date_of_journey,source,destination,dep_time,arrival_time,duration_minute,total_stops,additional_info,price
Spicejet,2019-06-18,Banglore,Delhi,21:10:00,00:05:00,175,0,no info,3971
Jet Airways,2019-06-15,Delhi,Cochin,20:55:00,19:00:00,1325,1,in-flight meal not included,10262
Indigo,2019-06-27,Banglore,Delhi,00:25:00,03:15:00,170,0,no info,3419
Indigo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0,no info,4423
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1,no info,14848
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1,no info,13584
Air India,2019-05-09,Delhi,Cochin,13:00:00,19:15:00,375,1,no info,8372
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1,no info,10413
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,18:00:00,1295,1,no info,14151
Indigo,2019-03-03,Delhi,Cochin,07:20:00,12:30:00,310,1,no info,12214
Jet Airways,2019-06-15,Banglore,Delhi,17:45:00,20:45:00,180,0,no info,8016
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,04:40:00,520,1,no info,14781
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1,no info,13727
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,165,0,no info,7591
Indigo,2019-03-03,Delhi,Cochin,04:45:00,15:30:00,645,1,no info,14871
Air India,2019-03-18,Banglore,New Delhi,06:45:00,10:35:00,1670,2,no info,12305
Goair,2019-04-21,Banglore,Delhi,07:45:00,10:40:00,175,0,no info,4632
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1,no info,6558
Jet Airways,2019-05-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,no info,5678
Indigo,2019-03-21,Delhi,Cochin,10:45:00,15:30:00,285,1,no info,6218
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2,in-flight meal not included,11507
Air India,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1,no info,8372
Air India,2019-06-12,Delhi,Cochin,20:15:00,19:15:00,1380,2,no info,13381
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1,no info,15077
Air India,2019-05-18,Delhi,Cochin,12:00:00,07:40:00,1180,2,no info,8603
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:15:00,615,1,no info,14533
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,in-flight meal not included,2071
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1,no info,12242
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,23:00:00,845,1,in-flight meal not included,6992
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1,no info,14486
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,19:50:00,345,1,no info,14781
Indigo,2019-05-09,Delhi,Cochin,11:25:00,01:30:00,845,1,no info,8330
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2,no info,12219
Indigo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,290,1,no info,4775
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,04:25:00,450,1,in-flight meal not included,12898
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0,no info,8016
Spicejet,2019-04-15,Delhi,Cochin,15:45:00,22:05:00,380,1,no info,5899
Spicejet,2019-03-24,Kolkata,Banglore,11:15:00,18:15:00,420,1,no info,12287
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,19:40:00,150,0,no check-in baggage included,3841
Indigo,2019-05-01,Banglore,Delhi,18:25:00,21:20:00,175,0,no info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,23:00:00,365,1,no info,54826
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,17:45:00,155,0,no info,7615
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0,no info,5613
Air India,2019-03-27,Kolkata,Banglore,14:15:00,16:45:00,150,0,no info,5170
Indigo,2019-03-24,Kolkata,Banglore,05:30:00,08:20:00,170,0,no info,4778
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0,no info,11598
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1,in-flight meal not included,10262
Vistara,2019-06-01,Banglore,Delhi,21:00:00,23:50:00,170,0,no info,4668
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,18:50:00,510,1,no info,15411
Indigo,2019-03-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,no info,4332
Indigo,2019-06-09,Kolkata,Banglore,21:25:00,00:05:00,160,0,no info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,07:40:00,1365,1,in-flight meal not included,7412
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,16:20:00,590,1,no info,14781
Spicejet,2019-06-27,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,no info,2017
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,780,1,no info,7408
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1685,1,no info,13067
Air India,2019-05-06,Kolkata,Banglore,05:50:00,20:25:00,875,2,no info,10991
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:25:00,1200,2,no info,13007
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,12:35:00,1145,1,in-flight meal not included,12373
Indigo,2019-05-18,Delhi,Cochin,14:25:00,17:40:00,195,0,no info,6015
Jet Airways,2019-04-01,Banglore,Delhi,07:10:00,10:10:00,180,0,no info,7229
Vistara,2019-03-24,Kolkata,Banglore,09:55:00,20:25:00,630,1,no info,12312
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,12:35:00,1295,1,in-flight meal not included,12373
Indigo,2019-05-15,Delhi,Cochin,09:15:00,21:00:00,705,1,no info,7503
Multiple Carriers,2019-06-09,Delhi,Cochin,02:15:00,11:30:00,555,1,no info,13587
Air India,2019-05-12,Banglore,Delhi,17:00:00,19:45:00,165,0,no info,5438
Indigo,2019-06-09,Banglore,Delhi,10:10:00,13:00:00,170,0,no info,4423
Spicejet,2019-06-18,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3543
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,16:10:00,545,1,no info,6076
Indigo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,560,1,no info,6442
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,no info,8040
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,04:40:00,450,1,no info,13374
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,19:00:00,1485,1,in-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,20:45:00,740,1,in-flight meal not included,10844
Indigo,2019-03-06,Chennai,Kolkata,22:05:00,00:25:00,140,0,no info,5277
Jet Airways,2019-06-18,Banglore,Delhi,07:10:00,10:10:00,180,0,in-flight meal not included,5769
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,no info,3625
Air India,2019-03-01,Banglore,New Delhi,10:30:00,17:45:00,435,2,change airports,17461
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,04:25:00,550,1,in-flight meal not included,12898
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,345,1,no info,5775
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1,in-flight meal not included,10262
Indigo,2019-06-12,Delhi,Cochin,21:05:00,00:20:00,195,0,no info,6015
Indigo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,165,0,no info,4804
Air India,2019-05-15,Kolkata,Banglore,09:25:00,05:25:00,1200,2,no info,14687
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,12:35:00,1505,1,in-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,20:00:00,04:25:00,505,2,no info,16263
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,12927
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:30:00,1310,1,in-flight meal not included,11087
Indigo,2019-05-15,Chennai,Kolkata,19:35:00,21:55:00,140,0,no info,3597
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,09:05:00,1555,1,no info,9187
Vistara,2019-06-12,Banglore,Delhi,11:30:00,14:20:00,170,0,no info,4668
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,12:35:00,1040,1,in-flight meal not included,12898
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,19:00:00,300,1,in-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,19:50:00,1640,1,in-flight meal not included,10844
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1,no info,14714
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,19:50:00,1430,1,in-flight meal not included,10844
Indigo,2019-05-15,Banglore,Delhi,04:00:00,06:50:00,170,0,no info,3943
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1,in-flight meal not included,8586
Indigo,2019-05-27,Banglore,Delhi,00:30:00,03:25:00,175,0,no info,3419
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,04:40:00,450,1,in-flight meal not included,8586
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,01:30:00,840,1,no info,13377
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,12:35:00,1010,1,in-flight meal not included,10577
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,140,0,no info,6300
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2,no info,15129
Air India,2019-06-09,Kolkata,Banglore,09:25:00,01:20:00,955,2,no info,11668
Indigo,2019-03-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,no info,6795
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0,no info,7229
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,910,1,no info,13941
Indigo,2019-04-12,Banglore,Delhi,06:05:00,08:50:00,165,0,no info,4990
Indigo,2019-05-09,Kolkata,Banglore,17:35:00,22:15:00,280,1,no info,5386
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,18:00:00,1295,1,no info,14151
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,12:35:00,885,1,in-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,04:25:00,535,2,no info,15129
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1,in-flight meal not included,7308
Indigo,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1,no info,10208
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15:00,195,0,no info,9564
Spicejet,2019-05-27,Delhi,Cochin,17:55:00,22:50:00,295,1,no info,5673
Jet Airways,2019-03-03,Delhi,Cochin,02:15:00,18:50:00,995,1,no info,17024
Indigo,2019-03-21,Delhi,Cochin,07:35:00,21:20:00,825,2,no info,6494
Multiple Carriers,2019-06-24,Delhi,Cochin,07:10:00,16:10:00,540,1,no info,6723
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1,no info,13941
Air India,2019-05-01,Delhi,Cochin,22:00:00,19:15:00,1275,2,no info,11281
Indigo,2019-05-06,Kolkata,Banglore,15:15:00,17:45:00,150,0,no info,4804
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,01:30:00,840,1,no info,13727
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1,in-flight meal not included,10844
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3543
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,04:25:00,1105,1,in-flight meal not included,10262
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,19:00:00,300,1,in-flight meal not included,10262
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,180,0,in-flight meal not included,7754
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1,no info,13731
Spicejet,2019-04-03,Kolkata,Banglore,17:10:00,19:40:00,150,0,no check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2,in-flight meal not included,13029
Indigo,2019-03-21,Chennai,Kolkata,07:55:00,10:15:00,140,0,no info,3384
Air Asia,2019-06-09,Kolkata,Banglore,10:20:00,12:55:00,155,0,no info,5645
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,in-flight meal not included,4160
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0,no info,7608
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,160,0,no info,4804
Spicejet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,no info,3873
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,15:30:00,505,1,no info,12537
Air India,2019-05-21,Kolkata,Banglore,08:20:00,07:55:00,1415,2,no info,11222
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1,in-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1,no info,12327
Jet Airways,2019-03-03,Delhi,Cochin,09:55:00,04:25:00,1110,1,no info,19828
Air India,2019-06-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,no info,3100
Spicejet,2019-04-27,Delhi,Cochin,17:55:00,22:50:00,295,1,no info,4957
Indigo,2019-05-09,Delhi,Cochin,07:35:00,12:10:00,275,1,no info,5054
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,23:35:00,1025,1,no info,14571
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1,no info,5162
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,360,1,no info,14714
Indigo,2019-03-01,Banglore,New Delhi,13:00:00,15:50:00,170,0,no info,19685
Air India,2019-06-06,Kolkata,Banglore,16:50:00,07:55:00,905,1,no info,8366
Air India,2019-05-06,Banglore,Delhi,21:05:00,23:55:00,170,0,no info,5228
Jet Airways,2019-03-03,Delhi,Cochin,18:20:00,04:25:00,2045,2,no info,20747
Spicejet,2019-03-24,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,no check-in baggage included,2175
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1,no info,14714
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,18371
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,1595,2,no info,14221
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1,no info,13759
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1,no info,13941
Air India,2019-03-18,Banglore,New Delhi,13:50:00,18:40:00,1730,1,no info,11161
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,19:00:00,1530,1,in-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2,no info,11228
Air India,2019-05-15,Delhi,Cochin,06:50:00,07:40:00,1490,2,no info,14431
Indigo,2019-04-03,Banglore,Delhi,00:30:00,03:25:00,175,0,no info,3419
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,22:40:00,930,1,no info,7927
Jet Airways,2019-06-24,Delhi,Cochin,14:35:00,04:25:00,830,2,no info,13376
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,04:40:00,585,1,no info,13941
Jet Airways,2019-03-09,Banglore,New Delhi,07:00:00,20:20:00,800,1,in-flight meal not included,11087
Indigo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1,no info,7503
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1,in-flight meal not included,9663
Jet Airways,2019-04-24,Banglore,Delhi,18:55:00,22:00:00,185,0,in-flight meal not included,4544
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,12:35:00,1355,1,in-flight meal not included,10262
Air India,2019-03-12,Mumbai,Hyderabad,05:05:00,16:55:00,710,2,no info,16172
Vistara,2019-04-24,Banglore,Delhi,09:45:00,12:35:00,170,0,no info,5403
Indigo,2019-03-09,Banglore,New Delhi,06:00:00,08:45:00,165,0,no info,7648
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0,no check-in baggage included,3919
Spicejet,2019-03-03,Kolkata,Banglore,09:00:00,11:30:00,150,0,no info,5515
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,18:15:00,750,1,in-flight meal not included,10844
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,08:15:00,920,1,no info,13817
Multiple Carriers,2019-05-21,Delhi,Cochin,09:45:00,18:10:00,505,1,no info,9646
Air India,2019-03-27,Delhi,Cochin,17:15:00,07:40:00,865,2,no info,8367
Jet Airways,2019-06-24,Delhi,Cochin,09:35:00,04:25:00,1130,2,no info,13292
Vistara,2019-06-06,Banglore,Delhi,17:00:00,19:35:00,155,0,no info,4878
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,540,1,no info,5135
Indigo,2019-04-01,Kolkata,Banglore,04:40:00,07:15:00,155,0,no info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,07:00:00,19:00:00,720,1,no info,10197
Indigo,2019-05-15,Kolkata,Banglore,08:10:00,13:00:00,290,1,no info,5069
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0,no check-in baggage included,3841
Multiple Carriers,2019-05-01,Delhi,Cochin,19:00:00,01:30:00,390,1,no info,9424
Indigo,2019-04-18,Banglore,Delhi,00:30:00,03:25:00,175,0,no info,4423
Multiple Carriers,2019-06-27,Delhi,Cochin,09:15:00,19:00:00,585,1,no info,11622
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1,no info,6145
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1,in-flight meal not included,10262
Indigo,2019-04-01,Banglore,Delhi,13:00:00,15:50:00,170,0,no info,4591
Jet Airways,2019-06-15,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,in-flight meal not included,4050
Air India,2019-06-27,Delhi,Cochin,09:00:00,19:15:00,615,1,no info,8372
Indigo,2019-06-12,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Air India,2019-05-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,no info,3625
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:15:00,795,1,no info,10786
Indigo,2019-03-06,Chennai,Kolkata,14:40:00,17:05:00,145,0,no info,7295
Indigo,2019-05-03,Kolkata,Banglore,04:40:00,07:15:00,155,0,no info,4804
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,no info,4409
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,04:25:00,535,2,no info,15129
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,in-flight meal not included,3210
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0,no info,5228
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,no info,5678
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,no info,17501
Indigo,2019-03-06,Kolkata,Banglore,15:10:00,17:45:00,155,0,no info,5618
Spicejet,2019-04-18,Banglore,Delhi,21:10:00,00:05:00,175,0,no info,5621
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2,no info,8052
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,14:25:00,1285,1,no info,12121
Indigo,2019-05-15,Banglore,Delhi,20:00:00,22:50:00,170,0,no info,4823
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,04:25:00,925,1,in-flight meal not included,12898
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1,no info,14781
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,165,0,no info,6121
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,04:40:00,875,1,no info,12739
Air Asia,2019-06-12,Delhi,Cochin,20:45:00,07:10:00,625,1,no info,6152
Vistara,2019-03-24,Banglore,New Delhi,09:50:00,12:35:00,165,0,no info,6138
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1,no info,14571
Jet Airways,2019-05-01,Banglore,Delhi,18:55:00,22:00:00,185,0,no info,7229
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,20:45:00,400,1,in-flight meal not included,10844
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,14:25:00,1080,1,in-flight meal not included,9314
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1,no info,15554
Air India,2019-06-01,Delhi,Cochin,12:00:00,19:15:00,435,2,no info,10336
Vistara,2019-04-24,Delhi,Cochin,14:40:00,17:50:00,190,0,no info,6216
Indigo,2019-05-27,Delhi,Cochin,06:50:00,16:10:00,560,1,no info,6674
Multiple Carriers,2019-05-15,Delhi,Cochin,14:55:00,22:30:00,455,1,no info,6513
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,150,0,no info,6064
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:25:00,325,1,no info,5636
Vistara,2019-06-18,Banglore,Delhi,07:00:00,09:40:00,160,0,no info,4668
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,860,1,no info,8784
Spicejet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3807
Air India,2019-05-21,Delhi,Cochin,05:15:00,06:50:00,1535,1,no info,7480
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1,no info,10198
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1,in-flight meal not included,10844
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,18:50:00,1670,1,no info,12767
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,16:20:00,590,1,no info,12996
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,08:15:00,735,1,no info,12681
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2065,2,no info,12723
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0,in-flight meal not included,4544
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0,no info,4488
Vistara,2019-05-21,Chennai,Kolkata,07:05:00,09:20:00,135,0,no info,3687
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,07:40:00,1055,1,1 long layover,22270
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,in-flight meal not included,3210
Jet Airways,2019-04-15,Delhi,Cochin,14:00:00,19:00:00,300,1,in-flight meal not included,6542
Indigo,2019-06-03,Delhi,Cochin,02:00:00,07:45:00,345,1,no info,6386
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,555,1,no info,14323
Indigo,2019-03-21,Delhi,Cochin,06:40:00,13:20:00,400,1,no info,10208
Jet Airways,2019-05-18,Delhi,Cochin,20:00:00,04:25:00,505,2,in-flight meal not included,15318
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,835,3,no info,16294
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1485,1,in-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,12:35:00,1145,1,in-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,09:20:00,730,1,in-flight meal not included,9663
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,20:40:00,1495,1,no info,13759
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1,in-flight meal not included,9212
Indigo,2019-05-15,Delhi,Cochin,21:05:00,00:20:00,195,0,no info,6834
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,1760,2,no info,16704
Indigo,2019-04-06,Delhi,Cochin,20:25:00,01:30:00,305,1,no info,5073
Jet Airways,2019-05-01,Delhi,Cochin,05:30:00,04:25:00,1375,2,no info,15129
Indigo,2019-05-12,Chennai,Kolkata,11:35:00,14:00:00,145,0,no info,4332
Multiple Carriers,2019-03-09,Delhi,Cochin,09:45:00,21:20:00,695,2,no info,10090
